field,total,spread,crop,grid_size,sigma,masking
BD01,40,1,wheat,1,,0.5
BD02,40,1,wheat,1,,0.5
BD03,40,1,wheat,1,,0.5
BD04,40,1,wheat,1,,0.5
BD05,40,1,wheat,1,,0.5
BD06,40,1,wheat,1,,0.5
BD07,40,1,wheat,1,,0.5
BD08,40,1,wheat,1,,0.5
BD09,40,1,wheat,1,,0.5
BD10,40,1,wheat,1,,0.5
BD11,40,1,wheat,1,,0.5
BD12,40,1,wheat,1,,0.5
BD13,40,1,wheat,1,,0.5
BD14,40,1,wheat,1,,0.5
BD15,320,1,wheat,5,,0.5
