field,total,spread,crop,grid_size,sigma,masking,height,width,drone_type,rate_kg,rate_area,field_area,area_unit
전라남도 함평군 손불면 산남리 2695-6,,1,rice,1,,0.5,3,5,DJI,20,200,1051.3,평
전라남도 함평군 손불면 산남리 2696-2,,1,rice,1,,0.5,3,5,DJI,20,200,1667.4,평
전라남도 함평군 손불면 산남리 2713-5,,1,rice,1,,0.5,3,5,DJI,20,200,1225.7,평
전라남도 함평군 손불면 산남리 2724-7,,1,rice,1,,0.5,3,5,DJI,20,200,1047.9,평
전라남도 함평군 손불면 산남리 2737-7,,1,rice,1,,0.5,3,5,DJI,20,200,1546.2,평
전라남도 함평군 손불면 석창리 1216-10,,1,rice,1,,0.5,3,5,DJI,20,200,974.3,평
전라남도 함평군 손불면 월천리 1966-3,,1,rice,1,,0.5,3,5,DJI,20,200,1318.0,평
전라남도 함평군 손불면 월천리 1977-4,,1,rice,1,,0.5,3,5,DJI,20,200,2510.4,평
