field,total,spread,crop,grid_size,sigma,masking
SM01,1200,1,soybean,1,1.3,0.7
SM02,1200,1,soybean,1,1.3,0.7
SM03,1200,1,soybean,1,1.3,0.7
SM04,1200,1,soybean,1,1.3,0.7
SM05,1200,1,soybean,1,1.3,0.7
SM06,1200,1,soybean,1,1.3,0.7
SM07,1200,1,soybean,1,1.3,0.7
SM08,1200,1,soybean,1,1.3,0.7
SM09,1200,1,soybean,1,1.3,0.7
SM10,1200,1,soybean,1,1.3,0.7
SM11,1200,1,soybean,1,1.3,0.7
SM12,1200,1,soybean,1,1.3,0.7
